1987,10	175568
1987,11	177218
1987,12	218858
1988,1	198610
1988,10	162211
1988,11	175123
1988,12	189137
1988,2	177939
1988,3	187141
1988,4	159216
1988,5	164107
1988,6	165596
1988,7	174844
1988,8	175591
1988,9	138322
1989,1	178161
1989,10	173312
1989,11	176805
1989,12	213745
1989,2	181324
1989,3	204720
1989,4	157890
1989,5	170654
1989,6	201395
1989,7	187426
1989,8	203535
1989,9	154504
1990,1	192521
1990,10	182707
1990,11	173768
1990,12	218597
1990,2	184949
1990,3	205043
1990,4	174695
1990,5	174125
1990,6	188768
1990,7	186310
1990,8	210335
1990,9	160184
1991,1	203500
1991,10	174082
1991,11	167768
1991,12	203388
1991,2	160719
1991,3	185433
1991,4	178541
1991,5	177146
1991,6	178767
1991,7	184046
1991,8	191689
1991,9	146535
1992,1	178973
1992,10	171109
1992,11	185240
1992,12	224848
1992,2	168341
1992,3	193367
1992,4	163937
1992,5	174097
1992,6	207596
1992,7	217399
1992,8	220465
1992,9	171697
1993,1	202742
1993,10	181722
1993,11	188021
1993,12	208364
1993,2	185820
1993,3	214420
1993,4	185850
1993,5	167812
1993,6	189905
1993,7	187657
1993,8	193809
1993,9	162196
1994,1	215791
1994,10	190085
1994,11	213819
1994,12	240057
1994,2	184811
1994,3	195139
1994,4	181870
1994,5	170538
1994,6	201658
1994,7	222409
1994,8	207187
1994,9	170182
1995,1	239816
1995,10	208243
1995,11	218360
1995,12	252739
1995,2	199741
1995,3	225147
1995,4	205346
1995,5	207197
1995,6	229587
1995,7	219451
1995,8	226650
1995,9	170373
1996,1	242239
1996,10	204564
1996,11	188032
1996,12	253297
1996,2	217413
1996,3	226970
1996,4	195384
1996,5	202024
1996,6	227273
1996,7	222170
1996,8	228420
1996,9	177621
1997,1	230529
1997,10	172938
1997,11	176547
1997,12	216099
1997,2	189105
1997,3	212869
1997,4	189348
1997,5	178435
1997,6	208492
1997,7	205474
1997,8	205627
1997,9	141879
1998,1	183744
1998,10	163813
1998,11	148623
1998,12	210366
1998,2	169230
1998,3	202308
1998,4	183799
1998,5	190386
1998,6	223474
1998,7	203528
1998,8	195213
1998,9	141190
1999,1	203215
1999,10	175296
1999,11	164648
1999,12	189462
1999,2	153464
1999,3	184895
1999,4	181376
1999,5	176281
1999,6	209395
1999,7	217703
1999,8	195486
1999,9	149983
2000,1	175940
2000,10	189149
2000,11	207426
2000,12	245640
2000,2	172394
2000,3	192111
2000,4	187660
2000,5	195957
2000,6	238751
2000,7	229929
2000,8	229822
2000,9	164704
2001,1	203813
2001,10	166568
2001,11	152375
2001,12	177983
2001,2	191111
2001,3	217148
2001,4	187364
2001,5	175053
2001,6	212220
2001,7	210760
2001,8	213701
2001,9	127047
2002,1	150187
2002,10	128181
2002,11	117199
2002,12	165138
2002,2	130155
2002,3	176699
2002,4	142233
2002,5	143028
2002,6	171039
2002,7	174338
2002,8	156760
2002,9	99776
2003,1	151238
2003,10	131409
2003,11	157157
2003,12	206743
2003,2	158369
2003,3	152156
2003,4	125699
2003,5	136551
2003,6	163497
2003,7	183491
2003,8	178979
2003,9	113916
2004,1	198818
2004,10	193951
2004,11	197560
2004,12	254786
2004,2	183658
2004,3	183273
2004,4	170114
2004,5	191604
2004,6	238074
2004,7	237670
2004,8	215667
2004,9	147508
2005,1	229809
2005,10	186778
2005,11	193399
2005,12	256861
2005,2	184920
2005,3	226883
2005,4	169221
2005,5	178327
2005,6	236724
2005,7	268988
2005,8	240410
2005,9	165541
2006,1	197789
2006,10	248878
2006,11	230224
2006,12	274930
2006,2	198371
2006,3	235207
2006,4	212412
2006,5	218097
2006,6	263900
2006,7	281457
2006,8	254405
2006,9	209985
2007,1	255777
2007,10	231129
2007,11	217557
2007,12	304011
2007,2	259288
2007,3	276261
2007,4	249097
2007,5	241699
2007,6	307986
2007,7	307864
2007,8	298530
2007,9	195615
2008,1	247948
2008,10	162531
2008,11	157278
2008,12	263949
2008,2	252765
2008,3	271969
2008,4	220864
2008,5	220614
2008,6	271014
2008,7	253632
2008,8	231349
2008,9	147061
